รหัสโรงเรียน,โรงเรียน,จน.นร.,ไทย,สังคม,อังกฤษ,คณิตศาสตร์,วิทยาศาสตร์,เฉลี่ย
56010115,,7,34,35.43,20.71,29.29,33.07,30.5
56010015,,5,46,54.4,52.5,51,58.9,52.56
56010102,,12,50.83,56.67,31.25,53.33,41.92,46.8
56010107,,13,49.38,60.62,41.35,46.54,48.31,49.24
56010048,,15,46.67,48.93,49.5,33,40.47,43.714
56010086,,22,51.45,55.82,43.18,34.32,46.3,46.214
56010011,,5,40.8,54.4,22,41,40.6,39.76
56010066,,31,41.42,50.77,33.15,36.45,41.98,40.754
56010120,,5,44.8,57.2,32.5,37,41.5,42.6
56010129,,5,38.4,42,31,41,41.4,38.76
56010073,,28,43.71,46.57,33.75,35.18,37.73,39.388
56010074,,13,45.54,52.15,34.23,33.85,42.15,41.584
56010062,,17,46.94,55.18,32.94,38.82,49.94,44.764
56010001,,31,46.58,46.39,26.21,33.06,36.73,37.794
56010117,,3,51.33,52.67,31.67,40,56.33,46.4
56010059,,14,42.86,50,26.43,31.79,36.39,37.494
56010096,,4,45.5,49,40.63,43.75,39.88,43.752
56010094,,15,52.4,55.73,33.33,56.33,47.57,49.072
56010065,,2,42,49,32.5,45,39.5,41.6
56010007,,1,48,52,40,40,45,45
56010019,,15,49.07,50.67,32.67,45.33,50.2,45.588
56010044,,4,54,62,48.75,48.75,58.75,54.45
56010002,,3,44.67,46.67,33.33,53.33,46.33,44.866
56010009,,25,45.76,49.6,31.5,44.6,38.66,42.024
56010053,,6,44,59.33,36.25,43.33,51.92,46.966
56010013,,20,45.3,54.2,31.88,42.5,47.13,44.202
56010045,,2,47,62,48.75,52.5,44.5,50.95
56010016,,3,45.33,55.33,40,48.33,51.83,48.164
56010021,,5,38.4,42.4,22.5,42,37.6,36.58
56010068,,22,48.82,51.82,41.82,41.36,51.43,47.05
56010067,,6,47.67,43.33,37.08,41.67,45.42,43.034
56010088,,10,50.2,67.8,32,37,42.75,45.95
56010114,,8,49.75,58,40.94,35.63,46.38,46.14
56010071,,4,51,53,34.38,43.75,56,47.626
56010089,,5,38,49.6,27,36,39.8,38.08
56010049,,1,48,62,67.5,45,55.5,55.6
56010079,,8,43.25,46.5,33.44,28.75,39.63,38.314
56010041,,14,50,53.43,28.75,45.71,52.89,46.156
56010080,,5,37.6,44,25,38,39,36.72
56010069,,3,34.67,28.67,21.67,35,30.67,30.136
56010105,,10,49.4,63,42.25,59.5,51.95,53.22
56010116,,11,50.18,61.27,46.14,39.55,47.73,48.974
56010093,,12,46.5,49,32.29,32.5,43.29,40.716
56010113,,10,49.2,58,44.25,47.5,44.35,48.66
56010083,,12,44.67,48.17,32.29,30.83,36.46,38.484
56010084,,6,51,50.33,25.42,32.5,43.25,40.5
56010025,,8,44,53.5,50,46.88,50.38,48.952
56010082,,4,48.5,55,36.25,45,55.38,48.026
56010039,,16,42.13,45.25,27.81,32.19,36.41,36.758
56010128,,4,41,49.5,31.25,45,37.75,40.9
56010028,,7,49.71,58.29,27.5,32.14,48.79,43.286
56010029,,4,46.5,47.5,27.5,27.5,42.63,38.326
56010108,,10,51.8,60.6,40,42.5,51.1,49.2
56010109,,5,42.4,58.8,35,36,44.1,43.26
56010106,,15,46.53,50.93,30.83,42,46.3,43.318
56010031,,3,45.33,52.67,44.17,26.67,44.17,42.602
56010036,,6,49.67,44.67,42.5,44.17,39.83,44.168
56010038,,6,47,46.33,37.5,38.33,37.92,41.416
56010057,,4,45.5,46,24.38,41.25,42.25,39.876
56010119,,2,51,44,26.25,22.5,52.75,39.3
56010122,,2,42,50,40,47.5,44.5,44.8
56010034,,14,53.29,55.71,38.75,31.43,44.71,44.778
56010076,,11,40.91,51.45,30,34.09,39.68,39.226
56010121,,3,52,64.67,44.17,58.33,58.83,55.6
56010012,,10,45,51.4,31.75,45.5,43.9,43.51
56010037,,5,56.8,49.2,57,26,45.3,46.86
56010099,,16,48.75,56.5,37.19,44.69,46.47,46.72
56010085,,4,42,55,35,38.75,42.88,42.726
56010008,,11,40,48.91,29.32,35.91,37.5,38.328
56010020,,5,48.8,51.2,28,40,46.9,42.98
56010110,,2,46,46,36.25,40,34.5,40.55
56010061,,6,46.33,44.67,32.08,39.17,43.83,41.216
56010072,,8,48.5,46.75,38.75,60.63,40.75,47.076
56010125,,6,58.67,55.67,47.5,63.33,54.58,55.95
56010091,,9,52.67,63.78,40.83,40,54.44,50.344
56010130,,2,42,50,25,27.5,43,37.5
56010124,,1,58,62,35,35,61.5,50.3
56010050,,3,40.67,48.67,37.5,25,47.17,39.802
56010035,,7,48,54.29,52.14,30.71,55.71,48.17
56010022,,15,48,59.6,51.33,42.67,46.03,49.526
56010024,,15,45.33,53.33,46.5,37,48.53,46.138
56010131,,3,47.33,48,27.5,31.67,40.5,39
56010103,,7,45.43,55.71,37.86,42.14,45.29,45.286
56010056,,4,55,56,28.13,40,48.63,45.552
56010127,,4,36,34,33.13,37.5,34.88,35.102
56010030,,10,44.4,53.4,33.25,32.5,42.8,41.27
56010101,,17,54.35,63.18,50.88,54.41,48.29,54.222
56010132,,8,53.5,53.75,30,37.5,47,44.35
56010063,,3,32.67,42.67,26.67,33.33,33.67,33.802
56010040,,20,51.6,54.4,35.25,40.5,52.83,46.916
56010098,,19,48.84,53.37,45.26,49.74,45.16,48.474
56010058,,14,42.57,46,29.64,37.14,43,39.67
56010026,,11,47.64,57.09,41.14,47.73,46.95,48.11
56010126,,8,51.5,56,25.94,34.38,43.25,42.214
56010078,,1,44,42,15,50,58.5,41.9
56010077,,12,44.33,46.5,33.75,33.75,37.92,39.25
56010051,,27,50.74,59.46,49.19,56.56,50.81,53.352
56010118,,14,48.71,59.71,35.54,34.64,42.43,44.206
56010032,,16,45.75,58.25,36.88,44.06,48.22,46.632
56010112,,15,48.93,52.13,31.5,38.33,41.63,42.504
00000000,,,44.88,50.67,36.02,38.06,42.13,42.35
56010000,,,47.79,54.18,38.78,43.82,45.96,46.11
