รหัสโรงเรียน,ชื่อโรงเรียน,น.ร.(คน),ภาษา,คำนวณ,เหตุผล,รวมเฉลี่ย
56010044,บ้านต๊ำดอนมูล,4,70.71,74.29,78.57,74.52
56010021,บ้านตุ่น,1,62.86,65.71,80.00,69.52
56010101,บ้านห้วยเจริญราษฏร์,6,70.95,59.05,73.33,67.78
56010069,บ้านปางงุ้น,8,63.57,65.36,70.00,66.31
56010113,บ้านป่าสักสามัคคี,7,66.94,55.10,72.24,64.76
56010125,บ้านสันต้นผึ้ง,4,59.29,65.71,65.71,63.57
56010067,บ้านถ้ำประชาบำรุง,6,64.29,63.81,57.62,61.91
56010107,ชุมชนบ้านแม่สุก,9,58.41,60.95,61.90,60.42
56010116,บ้านป่าแฝกใต้,7,57.96,53.47,68.57,60.00
56010120,บ้านกว้านเหนือ,10,64.86,54.00,60.86,59.91
56010053,บ้านต๋อมดง,6,50.48,61.90,63.81,58.73
56010041,บ้านป่าคา,6,60.48,53.81,61.90,58.73
56010015,ชุมชนบ้านตุ้มท่า,7,61.22,52.24,62.45,58.64
56010051,อนุบาลพะเยา,301,57.73,58.48,58.56,58.26
56010124,บ้านสันป่างิ้ว,4,56.43,55.00,61.43,57.62
56010072,บ้านสันจกปก,2,45.71,67.14,60.00,57.62
56010108,บ้านแม่จว้า,3,54.29,57.14,60.95,57.46
56010103,บ้านหนองสระ,4,56.43,52.86,60.00,56.43
56010109,บ้านแม่จว้าใต้,5,59.43,52.00,55.43,55.62
56010048,ชุมชนบ้านแม่ใส,12,55.95,47.62,61.43,55.00
56010105,บ้านป่าตึง,7,56.33,53.47,54.69,54.83
56010025,บ้านโป่ง,6,60.00,47.14,56.67,54.60
56010119,บ้านแม่อิง,8,54.29,43.57,63.93,53.93
56010024,บ้านสาง,7,51.02,53.06,57.55,53.88
56010094,บ้านดงอินตา,17,52.44,57.65,48.57,52.89
56010026,บ้านใหม่,9,57.78,48.57,50.79,52.38
56010112,อนุบาลแม่ใจ(บ้านศรีถ้อย),12,53.33,46.90,56.67,52.30
56010080,บ้านปาง,5,46.86,51.43,55.43,51.24
56010040,บ้านห้วยบง,8,47.86,50.36,55.00,51.07
