รหัสโรงเรียน,ชื่อโรงเรียน,น.ร.(คน),ภาษา,คำนวณ,เหตุผล,รวมเฉลี่ย
56010000,,0,0,0,0,46.11
00000000,,0,0,0,0,42.35
56010051,,301,67.73,58.48,58.56,58.26
56010052,,301,67.73,58.48,58.56,58.26
56010053,,301,67.73,58.48,58.56,58.26
56010054,,301,67.73,58.48,58.56,58.26
56010055,,301,67.73,58.48,58.56,58.26
56010056,,301,67.73,58.48,58.56,58.26
56010057,,301,67.73,58.48,58.56,58.26
56010058,,301,67.73,58.48,58.56,58.26
56010059,,301,67.73,58.48,58.56,58.26
56010060,,301,67.73,58.48,58.56,58.26
56010061,,301,67.73,58.48,58.56,58.26
56010062,,301,67.73,58.48,58.56,58.26
56010063,,301,67.73,58.48,58.56,58.26
56010064,,301,67.73,58.48,58.56,58.26
56010065,,301,67.73,58.48,58.56,58.26
56010066,,301,67.73,58.48,58.56,58.26
56010067,,301,67.73,58.48,58.56,58.26
56010068,,301,67.73,58.48,58.56,58.26
56010069,,301,67.73,58.48,58.56,58.26
56010070,,301,67.73,58.48,58.56,58.26
56010071,,301,67.73,58.48,58.56,58.26
56010072,,301,67.73,58.48,58.56,58.26
56010073,,301,67.73,58.48,58.56,58.26
56010074,,301,67.73,58.48,58.56,58.26
56010075,,301,67.73,58.48,58.56,58.26
56010076,,301,67.73,58.48,58.56,58.26
56010077,,301,67.73,58.48,58.56,58.26
56010078,,301,67.73,58.48,58.56,58.26
56010079,,301,67.73,58.48,58.56,58.26
